id,dispenser,bottle,time,fill_level_grams,recipe,vibration_index
1,green,1534,1720730488,792.8833372768775,12,238.93459638627783
2,green,1535,1720730492,783.7193361216988,12,255.1495079817242
3,green,1536,1720730496,775.8777602725355,12,254.36681846475136
4,green,1537,1720730500,766.9616235731357,12,264.327518748162
5,green,1538,1720730504,758.7397221128432,12,252.9980281248226
6,green,1539,1720730508,751.0549164640316,12,250.84474430850167
7,green,1540,1720730512,742.4732932099441,12,255.85087993241177
8,green,1541,1720730516,734.2319970982827,12,250.71488582651412
9,green,1542,1720730520,725.8789903796147,12,254.04544225391413
10,green,1543,1720730524,718.3052472589388,12,244.0592245930175
11,green,1544,1720730528,709.7359344222097,12,241.09597135326243
12,green,1545,1720730532,700.529842920872,12,249.10317132933054
13,green,1546,1720730536,691.31750650708,12,256.3840158279121
14,green,1547,1720730540,683.3646590793928,12,252.4526821801433
15,green,1548,1720730544,674.7727698868823,12,249.72473589922396
16,green,1549,1720730548,666.7680049711531,12,246.98504228148886
17,green,1550,1720730552,657.9834581696092,12,244.94958121705096
18,green,1551,1720730556,648.9839514261481,12,254.93381314302894
19,green,1552,1720730560,640.0441654884828,12,259.9478810111017
20,green,1553,1720730564,632.3019504987883,12,251.3661711340287
21,green,1554,1720730568,624.0078274775457,12,253.7055881093669
22,green,1555,1720730572,614.9807183952752,12,259.23503090087036
23,green,1556,1720730576,606.7423512470167,12,253.59148226718767
24,green,1557,1720730580,597.2834401211486,12,254.6442370509132
25,green,1558,1720730584,589.0195725128305,12,246.5367962381309
26,green,1559,1720730588,580.0989903358725,12,251.59493589258935
27,green,1560,1720730592,571.5369976039029,12,252.25203322090675
28,green,1561,1720730596,563.7800800851821,12,249.7027135965458
29,green,1562,1720730600,555.5063480619187,12,243.1450563062201
30,green,1563,1720730604,546.9205613340752,12,253.83624165203972
31,green,1564,1720730608,538.7578380971191,12,253.69348699993523
32,green,1565,1720730612,530.4894318997858,12,245.88174280311915
33,green,1566,1720730616,521.7660950725054,12,259.7411782077685
34,green,1567,1720730620,513.2475971715143,12,252.42549107508736
35,green,1568,1720730624,504.92263072662377,12,250.74548777499282
36,green,1569,1720730628,495.7236680125778,12,249.04407216942587
37,green,1570,1720730632,487.72956675359364,12,254.08034712107843
38,green,1571,1720730636,478.86426004380087,12,249.64467131562125
39,green,1572,1720730640,470.81403200969527,12,242.22484776048097
40,green,1573,1720730644,461.68374149496293,12,246.92075155181948
41,green,1574,1720730648,453.19767116387885,12,259.2161705167954
42,green,1575,1720730652,444.9248076343633,12,257.78818773526353
43,green,1576,1720730656,437.34148924199127,12,247.45061393165554
44,green,1577,1720730660,429.41703580391084,12,249.99458256596336
45,green,1578,1720730664,420.62158604136926,12,245.49865790377638
46,green,1579,1720730668,412.5011819817774,12,261.5811469065891
47,green,1580,1720730672,405.24809657261915,12,250.33393396049232
48,green,1581,1720730676,396.9622306167635,12,250.87710232090288
49,green,1582,1720730680,388.46218050195375,12,251.7474726490532
50,green,1583,1720730684,380.0371281968276,12,252.7828509013025
51,green,1584,1720730688,371.49103991054,12,261.4638003219574
52,green,1585,1720730692,363.4007211047957,12,257.16793567628116
53,green,1586,1720730696,354.9604323889953,12,247.75082631314064
54,green,1587,1720730700,346.43820430050056,12,254.29577816695235
55,green,1588,1720730704,337.1785284400086,12,253.58668059014343
56,green,1589,1720730708,328.8784124278401,12,255.30988907466602
57,green,1590,1720730712,320.49045429337565,12,256.15934156660376
58,green,1591,1720730716,312.07797628102145,12,255.9329656734318
59,green,1592,1720730720,303.8984704674894,12,251.65517956874874
60,green,1593,1720730724,296.4944776309991,12,252.56569681175725
61,green,1594,1720730728,288.5775343203646,12,249.63882960695275
62,green,1595,1720730732,279.5338900215767,12,255.44371654018332
63,green,1596,1720730736,271.5124318026748,12,248.4769136342876
64,green,1597,1720730740,262.77191012454415,12,256.013284558912
65,green,1598,1720730744,253.4768402983451,12,254.60779776974329
66,green,1599,1720730748,245.33105289616174,12,247.99900996680057
67,green,1600,1720730752,237.03959115312628,12,253.55703666801645
68,green,1601,1720730756,228.67757819876573,12,252.5912332743228
69,green,1602,1720730760,220.11017577420196,12,252.006411732844
70,green,1603,1720730764,211.55371431272167,12,259.6682192395528
71,green,1604,1720730768,203.09015330600712,12,259.678647618619
72,green,1605,1720730772,195.67147340636677,12,246.71774056014735
73,green,1606,1720730776,187.69642601492876,12,253.44409889306388
74,green,1607,1720730780,179.64983115642193,12,242.5215707692543
75,green,1608,1720730784,169.9624792033299,12,253.25498280305055
76,green,1609,1720730788,161.95343629598995,12,259.3770100130797
77,green,1610,1720730792,153.50088344068462,12,252.92994515340487
78,green,1611,1720730796,145.06494599455775,12,256.4006776953113
79,green,1612,1720730800,136.5354790872235,12,255.55164075758253
80,green,1613,1720730804,127.56200990149559,12,263.08266281733535
81,green,1614,1720730808,120.00638549914964,12,259.26271290701663
82,green,1615,1720730812,112.14592150986104,12,259.52366750462136
83,green,1616,1720730816,103.9379264416612,12,254.67199918620116
84,green,1617,1720730820,95.90335290850769,12,244.76237973928772
85,green,1618,1720730824,86.31100296846324,12,250.92742831423348
86,green,1619,1720730828,78.52826377955284,12,244.56374161424017
87,green,1620,1720730832,70.4433556805675,12,248.50981107315167
88,green,1621,1720730836,61.35235752329345,12,258.8692556369223
89,green,1622,1720730840,53.26959956408686,12,258.2534174256273
90,green,1623,1720730844,44.42646061386232,12,259.9852663925898
91,green,1624,1720730848,36.048218006271924,12,256.1969852558907
92,green,1625,1720730852,27.913997135334373,12,257.9774082329354
93,green,1626,1720730856,19.625997321342517,12,237.2167849107392
94,green,1627,1720730860,0.0,12,17.179984165991087
95,green,1628,1720730864,0.0,12,13.347990461487605
96,green,1629,1720730868,0.0,12,14.26042741723586
97,green,1630,1720730872,0.0,12,13.12783233095076
98,green,1631,1720730876,0.0,12,16.6061878124922
99,green,1632,1720730880,0.0,12,11.406317828373126
100,green,1633,1720730884,0.0,12,16.488194653132588
101,green,1634,1720730888,0.0,12,15.854389008801313
102,green,1635,1720730892,0.0,12,13.832882596661776
103,green,1636,1720730896,0.0,12,14.161140218427654
104,green,1637,1720730900,0.0,12,11.577892225569961
105,green,1638,1720730904,0.0,12,13.797156914493542
106,green,1639,1720730908,0.0,12,13.110009814893338
107,green,1640,1720730912,0.0,12,12.305442086140687
108,green,1641,1720730916,0.0,12,14.199594513379843
109,green,1642,1720730920,0.0,12,14.252618044819059
