id,dispenser,bottle,time,fill_level_grams,recipe,vibration_index
1,blue,1535,1720730488,575.9141047239489,12,247.00320202697472
2,blue,1536,1720730492,567.7351139418042,12,246.4560752620429
3,blue,1537,1720730496,559.9435493439469,12,239.43978730546306
4,blue,1538,1720730500,551.7266845883285,12,243.79681945238872
5,blue,1539,1720730504,543.6194783684989,12,243.47285693880383
6,blue,1540,1720730508,535.9005489079323,12,248.54092230783385
7,blue,1541,1720730512,528.3922157964881,12,250.55625619129492
8,blue,1542,1720730516,521.5342388116119,12,240.19406075839117
9,blue,1543,1720730520,514.0892638588847,12,235.56271768113382
10,blue,1544,1720730524,505.4871010338988,12,248.43540195781438
11,blue,1545,1720730528,497.5234653787375,12,239.09079246612583
12,blue,1546,1720730532,489.39736391029066,12,244.05087591977392
13,blue,1547,1720730536,480.73155408161887,12,241.10117506427167
14,blue,1548,1720730540,472.46970012407377,12,244.0348583852839
15,blue,1549,1720730544,464.08542309136226,12,245.5835918248751
16,blue,1550,1720730548,455.99491176341223,12,231.0401757915991
17,blue,1551,1720730552,447.26810496544584,12,243.78545166098408
18,blue,1552,1720730556,439.1688530404467,12,246.99919381377222
19,blue,1553,1720730560,431.4615485516045,12,235.10101575703973
20,blue,1554,1720730564,423.364684547825,12,244.03874664725006
21,blue,1555,1720730568,414.29701800930604,12,250.13134422575953
22,blue,1556,1720730572,405.5613753536075,12,247.36395055651377
23,blue,1557,1720730576,397.3431704021743,12,240.99140740570496
24,blue,1558,1720730580,388.8556752657984,12,244.80093261451267
25,blue,1559,1720730584,381.15849841421124,12,235.26263745904436
26,blue,1560,1720730588,373.0665407863213,12,244.41356690218728
27,blue,1561,1720730592,365.53214293000957,12,237.03653668471566
28,blue,1562,1720730596,356.87308772769,12,244.4270286786067
29,blue,1563,1720730600,348.3395943624252,12,241.83684517548596
30,blue,1564,1720730604,339.2761371116313,12,245.05414012501987
31,blue,1565,1720730608,331.64716953677157,12,231.0048258125249
32,blue,1566,1720730612,323.4750801398111,12,239.65781386652318
33,blue,1567,1720730616,315.07145695343644,12,252.47874294291046
34,blue,1568,1720730620,307.969680897511,12,243.36859767492666
35,blue,1569,1720730624,299.51017502172516,12,250.86326699376428
36,blue,1570,1720730628,291.456915090279,12,250.57047396578506
37,blue,1571,1720730632,283.42953743270806,12,246.90568101626397
38,blue,1572,1720730636,275.8333467057529,12,245.1944964457907
39,blue,1573,1720730640,267.32319730510557,12,248.9184126349044
40,blue,1574,1720730644,259.04401979046554,12,247.7251122099558
41,blue,1575,1720730648,251.5241311166061,12,238.02971196393332
42,blue,1576,1720730652,243.51187790386473,12,252.00699485841469
43,blue,1577,1720730656,235.11623935920116,12,237.95788934564214
44,blue,1578,1720730660,226.46545478734632,12,239.08270731706827
45,blue,1579,1720730664,218.20711509769063,12,243.2872351061886
46,blue,1580,1720730668,210.15306621317256,12,236.01188076503882
47,blue,1581,1720730672,201.39793767017972,12,241.3430023456231
48,blue,1582,1720730676,192.50456259766906,12,245.53040973396398
49,blue,1583,1720730680,184.22606591934513,12,248.25691577198756
50,blue,1584,1720730684,176.27541783591872,12,245.0207781616253
51,blue,1585,1720730688,168.5524322886705,12,245.80943160576933
52,blue,1586,1720730692,160.43074883350744,12,249.83055734599876
53,blue,1587,1720730696,153.03477695026294,12,244.27298910085437
54,blue,1588,1720730700,145.48271266228454,12,244.52675200307448
55,blue,1589,1720730704,138.3921770681834,12,240.6452023369544
56,blue,1590,1720730708,130.31382586863546,12,244.3720490321729
57,blue,1591,1720730712,122.05963635195118,12,238.87566537146827
58,blue,1592,1720730716,113.49747795519372,12,241.6746024894701
59,blue,1593,1720730720,105.89617164975232,12,241.87027095243334
60,blue,1594,1720730724,98.15447211190914,12,246.87424562329505
61,blue,1595,1720730728,89.74405453337639,12,245.52965137115893
62,blue,1596,1720730732,81.79263153691365,12,244.9516651605572
63,blue,1597,1720730736,73.66239139029734,12,241.08364555746783
64,blue,1598,1720730740,65.88477987089236,12,242.45813773278883
65,blue,1599,1720730744,58.19389193156747,12,249.21934968238216
66,blue,1600,1720730748,50.09544731988656,12,248.6622143824419
67,blue,1601,1720730752,42.21325904793437,12,233.48507794817493
68,blue,1602,1720730756,34.28924470461357,12,243.3850619615164
